Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\alles-pcb\pcb\Project Outputs for Alles\Pick Place\Pick Place for Alles.csv

========================================================================================================================
File Design Information:

Date:       22/03/21
Time:       11:01
Revision:   41efb38779243107bbf74458d65b53e3da9c4de0
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"L2","FNR201610S","31.9000","23.0000","31.9000","23.0000","32.6000","23.0000","TopLayer","180","4.7uH"
"L3","FNR201610S","39.7000","22.5500","39.7000","22.5500","39.0000","22.5500","TopLayer","360","4.7uH"
"C2","CAPC1608X09L","31.1000","20.2000","31.1000","20.2000","31.1000","20.8500","TopLayer","270","10uF"
"C9","CAPC1005X06L","29.8000","20.1000","29.8000","20.1000","29.8000","19.7100","TopLayer","90","0.10uF"
"U3","SOT95P280X100-5N","33.6000","19.5000","33.6000","19.5000","32.6500","18.1750","TopLayer","90","ADP2108AUJZ-3.3-R7"
"C10","CAPC1608X09L","37.1000","19.4750","37.1000","19.4750","37.1000","20.1250","TopLayer","270","2.2uF"
"U4","TSOP65P490X110_HS-9N","39.7000","18.2750","39.7000","18.2750","38.7250","16.0750","TopLayer","90","MCP1642B-50I/MS"
"P3","HDR1X4","44.5000","18.2700","44.5000","14.4600","44.5000","14.4600","TopLayer","90","Header 4"
"R8","ERJ2G(0402)_L","36.1500","16.7750","36.1500","16.7750","36.1500","16.3750","TopLayer","90","1M"
"C8","CAPC1608X09L","42.2000","16.7750","42.2000","16.7750","42.2000","16.1250","TopLayer","90","10uF"
"R25","ERJ2G(0402)_L","37.1000","16.7750","37.1000","16.7750","37.1000","17.1750","TopLayer","270","100k"
"C1","CAPC1608X09L","31.8500","16.7000","31.8500","16.7000","32.5000","16.7000","TopLayer","180","4.7uF"
"SW4","TS-1185","41.4998","16.0000","41.4998","16.0000","41.4998","18.1750","BottomLayer","270","TS-1185"
"SW3","TS-1185","30.4998","16.0000","30.4998","16.0000","30.4998","18.1750","BottomLayer","270","TS-1185"
"SW2","TS-1185","19.4998","16.0000","19.4998","16.0000","19.4998","13.8250","BottomLayer","90","TS-1185"
"SW1","TS-1185","8.4998","16.0000","8.4998","16.0000","8.4998","13.8250","BottomLayer","90","TS-1185"
"U1","ESP32-WROOM-32-shortpad","18.0000","15.0000","9.0000","6.0000","9.0000","6.0000","TopLayer","90","ESP32-WROOM-32E(4MB)"
"C11","CAPC1005X06L","42.2000","14.3500","42.2000","14.3500","42.2000","13.9600","TopLayer","90","0.10uF"
"U15","SLAB-QFN-24-2675x2675TP_M","32.2500","12.0000","32.2500","12.0000","31.0000","9.9500","TopLayer","90","CP2104-F03-GM"
"R3","ERJ2G(0402)_L","36.1000","12.0000","36.1000","12.0000","35.7000","12.0000","TopLayer","360","10k"
"R2","ERJ2G(0402)_L","37.7500","11.9750","37.7500","11.9750","37.7500","12.3750","TopLayer","270","0.0"
"U2","FP-T1633-4-MFG","40.3000","11.0750","40.3000","11.0750","38.8750","11.8250","TopLayer","0","MAX98357AETE+"
"C3","CAPC1005X06L","36.1000","11.0000","36.1000","11.0000","35.7100","11.0000","TopLayer","360","1uF"
"R1","ERJ2G(0402)_L","37.7500","10.4750","37.7500","10.4750","37.7500","10.8750","TopLayer","270","100k"
"P1","HDR1X2","44.5000","9.7700","44.5000","8.5000","44.5000","8.5000","TopLayer","90","Header 2"
"C5","CAPC1005X06L","35.1750","9.5250","35.1750","9.5250","34.7850","9.5250","TopLayer","0","4.7uF"
"C4","CAPC1005X06L","35.1750","8.6250","35.1750","8.6250","35.5650","8.6250","TopLayer","180","0.10uF"
"C7","CAPC1005X06L","41.7000","8.4500","41.7000","8.4500","42.0900","8.4500","TopLayer","180","0.10uF"
"C6","CAPC1608X09L","39.1750","8.4500","39.1750","8.4500","39.8250","8.4500","TopLayer","180","10uF"
"C15","CAPC1005X06L","42.6000","6.7000","42.6000","6.7000","42.6000","7.0900","TopLayer","270","0.10uF"
"D1","FP-425-04-IPC_C","33.0500","6.4000","33.0500","6.4000","33.0500","4.7200","TopLayer","90","MBR0520LT1G"
"U6","SOT95P280X125-6N-3","39.9000","6.2000","39.9000","6.2000","38.5500","7.1500","TopLayer","360","XB5307H"
"Q3","FP-SOT23-IPC_A","35.7500","6.2000","35.7500","6.2000","34.7733","7.1150","TopLayer","0","DMP3099L-13"
"R5","ERJ2G(0402)_L","29.4000","6.0000","29.4000","6.0000","29.4000","6.4000","TopLayer","270","10k"
"R4","ERJ2G(0402)_L","30.3500","6.0000","30.3500","6.0000","30.3500","6.4000","TopLayer","270","27k"
"R22","ERJ2G(0402)_L","31.4250","6.0000","31.4250","6.0000","31.4250","6.4000","TopLayer","270","10k"
"R11","ERJ2G(0402)_L","11.5000","4.5000","11.5000","4.5000","11.1000","4.5000","TopLayer","360","10k"
"R27","ERJ2G(0402)_L","42.6000","4.3000","42.6000","4.3000","42.6000","4.7000","TopLayer","270","100"
"P2","HDR1X2","44.5000","3.7700","44.5000","2.5000","44.5000","2.5000","TopLayer","90","Battery"
"R16","ERJ2G(0402)_L","17.5000","3.5000","17.5000","3.5000","17.9000","3.5000","TopLayer","180","100k"
"R15","ERJ2G(0402)_L","11.5000","3.5000","11.5000","3.5000","11.1000","3.5000","TopLayer","360","10k"
"C12","CAPC1608X09L","36.7000","3.2000","36.7000","3.2000","36.7000","3.8500","TopLayer","270","4.7uF"
"Q2","FP-SOT363-MFG","34.2000","3.1000","34.2000","3.1000","33.2500","3.7500","TopLayer","0","DMC3400SDW-7"
"C13","CAPC1608X09L","8.4750","3.0750","8.4750","3.0750","8.4750","2.4250","TopLayer","90","10uF"
"Q1","ONSC-SOT-563-6-463A-01_V","15.0000","3.0000","15.0000","3.0000","14.3250","3.5000","TopLayer","0","EMX1DXV6T1G"
"R14","ERJ2G(0402)_L","17.5000","2.5000","17.5000","2.5000","17.9000","2.5000","TopLayer","180","100k"
"R13","ERJ2G(0402)_L","11.5000","2.5000","11.5000","2.5000","11.1000","2.5000","TopLayer","360","10k"
"C14","CAPC1608X09L","42.4000","2.2000","42.4000","2.2000","42.4000","2.8500","TopLayer","270","4.7uF"
"J1","A01SB741B1-267","28.0000","2.2000","28.0000","3.5000","29.3000","3.5000","TopLayer","180","A01SB741B1-267"
"U5","FP-C04-091-OT-IPC_B","39.4500","2.1750","39.4500","2.1750","40.5662","1.2250","TopLayer","180","MCP73831T-2ACI/OT"
"R26","ERJ2G(0402)_L","36.8500","0.9000","36.8500","0.9000","36.8500","1.3000","TopLayer","270","2k"
"R21","ERJ2G(0402)_L","33.7250","0.9000","33.7250","0.9000","33.7250","1.3000","TopLayer","270","10k"
"R20","ERJ2G(0402)_L","32.9000","0.9000","32.9000","0.9000","32.9000","0.5000","TopLayer","90","100k"
"R19","ERJ2G(0402)_L","34.8250","0.9000","34.8250","0.9000","34.8250","0.5000","TopLayer","90","27k"
"R18","ERJ2G(0402)_L","36.0250","0.9000","36.0250","0.9000","36.0250","1.3000","TopLayer","270","100k"
